artifact_path,source_commit,artifact_role,artifact_format,row_or_record_count,bytes,sha256
results/dso_vpp_ac_map_pilot/doe_ac_boundary_headroom_repair_calibration/edge_retreats.csv,82ccd0f20693c90c39904f6016d85cf62433f4f0,authoritative edge outcomes and recorded limiting IDs,CSV,1689,590110,980915c3af3459078392cf0f92b152d8cc04455ab2e3b4ccb679619fedfec54e
results/dso_vpp_ac_map_pilot/doe_ac_boundary_headroom_repair_calibration/calibration_attempts.csv,82ccd0f20693c90c39904f6016d85cf62433f4f0,authoritative executed attempt trajectories,CSV,51773,14190412,7b34cde6aacf2646e637e5ce18c8fc9aa045e32d82563c8f307e7c2e73d45a6e
results/dso_vpp_ac_map_pilot/doe_ac_boundary_headroom_repair_preregistration/calibration_fraction_inventory.csv,fc15fbf7bf93ca89c2ab4a45145f937abbc70f63,locked calibration memberships and d=0 coordinates,CSV,24004,4539451,fa50aaa5b4c5b8c878a18e585f97f21f1f939cbbf0fa6d7c505cb2e4b9ff452c
results/dso_vpp_ac_map_pilot/doe_ac_boundary_headroom_repair_preregistration/edge_repair_policy.csv,fc15fbf7bf93ca89c2ab4a45145f937abbc70f63,locked normals and strict geometric caps,CSV,1689,569928,92fc0dc6ceece4b49a67b59d6278465bac25d135033eb63e0534d8a03190a1ef
results/dso_vpp_ac_map_pilot/doe_ac_boundary_headroom_repair_preregistration/repair_config.json,fc15fbf7bf93ca89c2ab4a45145f937abbc70f63,locked voltage bands and search-control configuration,JSON,1,4251,d38b2499617ef99842fefb165bd169eca987527231c5b1d5ebf00a34ac8cd4e8
results/dso_vpp_ac_map_pilot/doe_ac_interior_validation/validation_point_results.csv,82ccd0f20693c90c39904f6016d85cf62433f4f0,committed historical d=0 validation baselines,CSV,65494,27358183,f759a042880f7f00d6d941fe3ee519f19c9cff7ebea60afa8edb294dd92de51c
scripts/run_dso_vpp_ac_boundary_headroom_repair_calibration.jl,82ccd0f20693c90c39904f6016d85cf62433f4f0,actual executed Julia search-control implementation,JL,1,68598,d28be2e8c416694be8113e57bb7605635179d67c351a4ec55941c38055eec4af
results/dso_vpp_ac_map_pilot/doe_construction_policy_preregistration/convex_piecewise_architecture_audit/merged_convex_cells.csv,ba88f54f52f7bcd03df2466ce69dff2b9b1c538b,committed CCW convex-cell vertices used by the executed repair implementation,CSV,3173,569481,a1c7f9061b609afb909aaa7b271f261cc712c3f89db7dd317f9e6483220184af
results/dso_vpp_ac_map_pilot/doe_ac_interior_validation_preregistration/validation_polygon_edges.csv,ba88f54f52f7bcd03df2466ce69dff2b9b1c538b,committed source facet endpoints and geometric edge relationships,CSV,1689,360427,871a10f48cbf7dc8170d3a08dd3e59b3d582feaf52b7841bf46c0853e782ee85
results/dso_vpp_ac_map_pilot/doe_ac_interior_validation_interpretation_audit/interpretation_audit_summary.json,82ccd0f20693c90c39904f6016d85cf62433f4f0,prior committed AC-failure localization reference,JSON,1,2812,3f23252c4566fdd0aed42aa663c97d7786c70da29abe58952f8849defd64da09
