file_path,line_or_symbol,variable_or_function,current_semantic_meaning,evidence,classification,required_action,needed_before_next_radial_probe,needed_only_before_final_tvpp
src/benchmark/dso_vpp_ac_map_stage0.jl,"8,36-67",PILOT_DATES; load_profile; select_pilot_indices,Selects exactly 96 half-hour profile rows for 2012-10-15 and 2012-10-16 by exact DateTime equality.,"Profile columns are load_multiplier and pv_profile; selection validates uniqueness, spacing, finiteness, and endpoints.",PILOT_SPECIFIC_AND_ACCEPTABLE,Preserve for Phase-B reproducibility; a final TVPP study should receive an explicit scenario horizon.,no,yes
src/benchmark/dso_vpp_ac_map_stage0.jl,"26-27,109-111",REFERENCE_PV_BUS; REFERENCE_PV_CAPACITY_KW; reference_pv_by_bus_kw,A fixed 850 kW reference PV nameplate at bus 13 produces 850*f_t kW active injection.,reference_pv_by_bus_kw[13] is assigned reference_capacity_kw*pv_factor.,PILOT_SPECIFIC_AND_ACCEPTABLE,Keep separate from controlled command and from any future TVPP resource aggregation.,yes,yes
src/benchmark/dso_vpp_ac_map_stage0.jl,70-86,build_pilot_network,Builds the full IEEE 33-bus radial DSO feeder; buses 13 and 30 do not define a subnetwork boundary.,All 33 buses and 32 branches are loaded; topology root is bus 1.,CORRECT,No change for the pilot.,no,no
src/data/ieee33.jl,"17,34,52-53,69-70",load_data; branch_data,"Bus 13 has 60 kW/35 kvar nominal passive load; bus 30 has 200 kW/600 kvar nominal passive load. They are nonadjacent feeder buses on different downstream locations, not endpoints of a closed region.",Branch 12 connects 12-13; branch 29 connects 29-30; no boundary construct joins them.,CORRECT,Treat passive loads independently from TVPP-controlled quantities.,yes,yes
src/benchmark/dso_vpp_ac_map_stage0.jl,89-116,"assemble_stage0_inputs(p13_vpp_kw,p30_vpp_kw)",Accepts exactly two external active-power command scalars and inserts them as additive source injections at buses 13 and 30.,vpp_injection_by_bus_kw[13]=p13; [30]=p30; the vector is added to reference PV.,GENERALIZATION_REQUIRED_BEFORE_FINAL_TVPP,Introduce a new map-based controlled-interface input for the final architecture; retain this signature as a Phase-B compatibility wrapper.,no,yes
src/benchmark/dso_vpp_ac_map_stage0.jl,117-123,net_demand_pu,Physical AC bus input uses scaled passive demand minus all active source injections; reactive input is scaled passive Q only.,"complex(pd*m-active_injection, qd*m)/10000.",CORRECT,Reuse the sign relation in a named interface conversion layer.,yes,yes
src/benchmark/dso_vpp_ac_map_stage0.jl,136-260,primary_power_flow,Solves the full radial constant-PQ AC feeder for the assembled net-demand vector and reports substation exchange and losses.,Backward/forward sweep consumes net_demand_pu at every bus.,CORRECT,Keep on the DSO side; do not expose this function or topology to a coupled/box TVPP optimizer.,no,yes
src/benchmark/dso_vpp_ac_map_stage0.jl,297-359,evaluate_point,"Looks up the selected profile row, assembles the reference PV and two commands, runs primary AC, then independently replays the same resolved active injections.","Replay dictionary is {13: reference_pv+p13, 30: p30} with availability 1.0.",PILOT_SPECIFIC_AND_ACCEPTABLE,Preserve numerical behavior; add a future generalized evaluator rather than changing committed Phase-B semantics.,no,yes
src/benchmark/dso_vpp_ac_map_stage0.jl,369-440,classify_voltage; evaluate_point result,Voltage feasibility is replay-gated and based on 0.90/1.05 p.u.; result labels expose p13/p30 and fixed-zero q13/q30.,classify_voltage compares replay extrema with VMIN_PU and VMAX_PU.,DOCUMENTATION_OR_NAMING_DEFECT,In new artifacts call these P13_command/P30_command; retain legacy field names as explicit aliases.,yes,yes
src/validation/s1b_independent_replay.jl,127-172,replay_s1b_interval,Treats dictionary values as unity-power-factor active injections and reconstructs net demand as passive P minus injection with passive Q unchanged.,Docstring states PV unity power factor; lines 169-172 subtract active injection only.,CORRECT,A fixed-Q(P) final policy needs a replay API that accepts resolved P and Q interface vectors.,no,yes
src/benchmark/dso_vpp_export_side_axis_scan.jl,"12,104-163",AXES; evaluate_fixed_injection; evaluate_axis_point,Defines exactly two one-at-a-time nonnegative experimental command axes at buses 13 and 30.,AXES contains P13_VPP and P30_VPP; the inactive coordinate is set to zero.,PILOT_SPECIFIC_AND_ACCEPTABLE,Do not reinterpret the resulting limits as final PCC limits; use a new multi-interface DOE builder later.,yes,yes
src/benchmark/dso_vpp_export_side_axis_scan.jl,"183-317,590-639",adaptive_coarse_doubling; refine_bracket; scan_one_axis; run_scan,Finds safe/upper-voltage brackets separately on each command coordinate for each timestamp and writes Phase-B artifacts.,Only axis injection changes; reference PV and passive loads remain fixed for the timestamp.,PILOT_SPECIFIC_AND_ACCEPTABLE,No change or regeneration in this audit.,no,no
src/benchmark/dso_vpp_export_side_axis_scan.jl,"459-472,515-545",config_string; write_report,"Explicitly records Q_PV=Q_VPP13=Q_VPP30=0, no thermal/transformer limit, and warns that axis bounds are not a DOE or 2D feasible set.",Resolved configuration and report text state all limitations.,CORRECT,Preserve; clarify command terminology only in new audit artifacts.,yes,no
src/benchmark/dso_vpp_ac_anchored_linear_corner_audit.jl,94-123,committed_capacity_data,Reads provenance-locked Phase-B axis command bounds for buses 13 and 30 from a committed Git blob.,scales_kw is keyed only by 13 and 30; expected SHA-256 is enforced.,PILOT_SPECIFIC_AND_ACCEPTABLE,Never relabel these scales as PCC capacities without a separate semantic proof.,yes,yes
src/benchmark/dso_vpp_ac_anchored_linear_corner_audit.jl,318-365,default_baseline_evaluator; run_analytical_audit,"Reuses the identical operating-point assembler at zero command, then derives all-bus voltage headroom and two topology coefficient vectors.","Baseline path calls AxisScan.evaluate_fixed_injection(...,0,0); coefficients use injection_bus 13 and 30.",CORRECT,Preserve provenance-locked behavior.,no,no
src/benchmark/dso_vpp_ac_anchored_linear_corner_audit.jl,163-315,analyze_envelope,Evaluates all 33 bus upper-voltage inequalities but constructs a two-coordinate analytical geometry and a selected 2x2 bus-13/bus-30 intersection.,"Two coefficient vectors, 2x2 matrix, two-element P vector, and two-coordinate angle.",PILOT_SPECIFIC_AND_ACCEPTABLE,Do not generalize this historical audit in place; implement N-interface geometry separately for the final DOE.,no,yes
src/data/types.jl,"97-101,240-246",DOE,Legacy generic data type represents one pcc_bus with independent time-varying import/export maxima.,DOE contains one integer pcc_bus and two vectors; it is not used by the Phase-B pilot.,GENERALIZATION_REQUIRED_BEFORE_FINAL_TVPP,Replace or supersede with a multi-interface envelope type before coupled/box TVPP work.,no,yes
src/data/resources.jl,71-87,build_default_doe,"Builds a synthetic single-bus DOE at bus 1 for generic scenarios, not a DSO-derived pilot interface region.","Returns DOE(1, synthetic import maxima, synthetic export maxima).",GENERALIZATION_REQUIRED_BEFORE_FINAL_TVPP,Do not reuse as the final TVPP DOE; keep only as legacy fixture or mark deprecated.,no,yes
src/solve/solve_s1b_central.jl,6,S1B_CANDIDATE_BUSES,"Defines buses 13,20,24,30 as centralized PV hosting-capacity candidate buses.","The tuple is used by the S1-B centralized PV study, not by the Phase-B two-command pilot.",NOT_APPLICABLE,Do not infer that buses 20 and 24 are already TVPP interfaces.,yes,yes
src/data/resources.jl,1-68,build_default_pv_units; build_default_evcs_units; build_default_bess_units,"Defines dispersed PV/EV/BESS fixtures at several buses, but no mapping from those resources to Phase-B interfaces or P_agg/P_PCC.","PV buses 6/14/25/30, EV buses 18/22/25/33, BESS buses 14/30.",GENERALIZATION_REQUIRED_BEFORE_FINAL_TVPP,Create explicit resource-to-interface ownership/metering mappings; do not infer them from bus equality.,no,yes
src/models/pv_model.jl,11-48,add_pv_hosting_variables!,Aggregates PV decision variables by physical bus inside a network-coupled optimization model.,Returns injection_by_bus_kw and requires full CaseData.,GENERALIZATION_REQUIRED_BEFORE_FINAL_TVPP,"For coupled/box DOE, move resource scheduling behind a TVPP-side interface that has no topology/equations.",no,yes
src/models/socp_network.jl,103-217,add_socp_network_constraints!,"Combines passive loads, optional load adders, controlled P/Q injections, voltage equations, and valid nonzero branch ratings in one central network model.",Network variables and resource series meet in bus balance constraints.,PILOT_SPECIFIC_AND_ACCEPTABLE,Use only for the centralized benchmark; do not import this module into coupled/box TVPP models.,no,yes
test/test_dso_vpp_ac_map_stage0_physical_inputs.jl,"8-146,266-350",_independent_stage0_expected; physical-input tests,"Independently reconstructs fixed loads, reference PV, and the two command injection vectors and verifies bus-local effects.",Tests assert deltas occur only at bus 13 or 30 and simultaneous injections add correctly.,CORRECT,Retain as the semantic regression anchor for Phase-B.,yes,no
results/dso_vpp_ac_map_pilot/export_side_axis_capacity_bounds.csv,header and axis rows,axis; axis_bus; axis_capacity_kW,"Serializes safe endpoints of experimental command scans, not metered PCC powers.",Schema has a generic axis_bus column but axis names and source fields remain P13_VPP/P30_VPP.,DOCUMENTATION_OR_NAMING_DEFECT,Consumers must label these P_command axis bounds and must not automatically publish them as PCC limits.,yes,yes
