artifact_path,line_or_field,quantity,coordinate_label,interpretation,additive_label_action,historical_bytes_modified
results/dso_vpp_ac_map_pilot/export_side_axis_capacity_bounds.csv,axis; axis_bus; axis_capacity_kW,AC axis bounds,COMMAND_COORDINATES,safe endpoints of incremental command axes,sidecar label; retain raw schema,no
results/dso_vpp_ac_map_pilot/export_side_axis_report.md,axis summaries,AC axis bounds,COMMAND_COORDINATES,command-axis results with fixed reference PV,sidecar label,no
results/dso_vpp_ac_map_pilot/ac_anchored_linear_corner_audit_summary.csv,axis_*_limit; intersection_*; normalization_scale_*; normalized_angle_*,linear limits/corner/theta_star,COMMAND_COORDINATES,all capacity and normalized-angle fields use command coordinates and command-axis denominators,sidecar aliases P_command_axis_bound and theta_star_command,no
results/dso_vpp_ac_map_pilot/ac_anchored_linear_corner_audit_report.md,axis comparison; candidate intersection; normalized direction,linear and mixed AC/linear quantities,COMMAND_COORDINATES,the report's P13/P30 variables are incremental commands,sidecar label,no
results/dso_vpp_ac_map_pilot/ac_anchored_linear_corner_audit_axis_13_ranking.csv,linear_axis_limit_kw,linear axis limits,COMMAND_COORDINATES,bus-13 incremental-command axis,sidecar label,no
results/dso_vpp_ac_map_pilot/ac_anchored_linear_corner_audit_axis_30_ranking.csv,linear_axis_limit_kw,linear axis limits,COMMAND_COORDINATES,bus-30 incremental-command axis,sidecar label,no
results/dso_vpp_ac_map_pilot/ac_anchored_linear_corner_audit_corner_margins.csv,contribution_13_v2; contribution_30_v2,corner contributions,COMMAND_COORDINATES,evaluated at the command-space linear corner,sidecar label,no
results/dso_vpp_ac_map_pilot/operating_point_provenance_summary.csv,g13;g30;theta_star_degrees;linear_*;Lambda_lin,g13/g30/theta_star/Lambda_lin,COMMAND_COORDINATES,g values and theta use command-axis AC scales; Lambda uses command-space areas,sidecar aliases g13_command/g30_command/theta_star_command/Lambda_lin_command,no
results/dso_vpp_ac_map_pilot/operating_point_provenance_report.md,Scientific result,quadrilateral/theta_star/Lambda_lin,COMMAND_COORDINATES,locked incremental-command geometry,sidecar label,no
results/dso_vpp_ac_map_pilot/operating_point_provenance_phaseb_audit_comparison.csv,command/boundary comparison fields,aligned operating-point quantities,COMMAND_COORDINATES,compares Phase-B and analytical command paths,sidecar label,no
results/dso_vpp_ac_map_pilot/ac_linear_probe_preregistration.md,P13/P30;s13/s30;theta_star;g_r;epsilon_v;Lambda_*,prior radial design and metrics,COMMAND_COORDINATES,all prior rays/scales/normalized areas are based on incremental commands,superseded for production grid by absolute-PCC amendment,no
scripts/run_dso_vpp_ac_anchored_linear_corner_audit.jl,Normalized angle console label,theta_star,COMMAND_COORDINATES,diagnostic command-space angle,future console alias theta_star_command; do not change locked artifacts,no
src/benchmark/dso_vpp_operating_point_provenance.jl,g13;g30;theta_star;Lambda_lin writers,normalized provenance quantities,COMMAND_COORDINATES,writer generated the locked command-space artifacts,sidecar metadata preserves hashes,no
repository search,m_star,m_star,NOT_PRESENT,no material pilot occurrence found,no action,no
