occurrence_path,line_or_symbol,term,current_usage,classification,rationale,required_change
src/benchmark/dso_vpp_ac_map_stage0.jl,module name and 868,DSO-VPP,Names the pilot fixed-injection study.,PILOT_SHORTCUT_BUT_EXPLICIT,"The study contains no internal VPP resource model, but the report explicitly calls its coordinates direct bus injections.",Prefer DSO-TVPP pilot in future documents; retain module name for compatibility.
src/benchmark/dso_vpp_ac_map_stage0.jl,"94-95,107,112-116",VPP injection,Labels the two external additive active command components.,AMBIGUOUS,"No aggregation, ownership, schedule, or PCC meter is computed.",Use command_injection or P_command in new APIs; legacy aliases remain.
src/benchmark/dso_vpp_ac_map_stage0.jl,875-876,boundary variables,States that coordinates are direct active-power injections and gives their signs.,CORRECT,This accurately describes implemented numerical semantics.,No change required.
src/benchmark/dso_vpp_ac_map_stage0.jl,877,VPP connection points,Calls buses 13 and 30 VPP connection points.,AMBIGUOUS,They are pilot controlled-injection buses; physical PCC metering is not represented.,Use controlled-injection buses or experimental interface buses in future text.
src/benchmark/dso_vpp_export_side_axis_scan.jl,"12,472",P13_VPP/P30_VPP,Names the two command axes.,PILOT_SHORTCUT_BUT_EXPLICIT,Axis report says they are one-axis commands and not a DOE.,Add explicit P_command interpretation in consuming documents; do not rename committed fields.
src/benchmark/dso_vpp_export_side_axis_scan.jl,544,DOE,Explicitly says the Cartesian product of axis bounds is not a DOE.,CORRECT,Prevents overclaiming.,No change.
src/benchmark/dso_vpp_ac_anchored_linear_corner_audit.jl,533-570,VPP commands/P13/P30,Describes zero baseline commands and a two-command analytical intersection.,PILOT_SHORTCUT_BUT_EXPLICIT,The report traces the exact command path and disclaims a complete 2D inclusion relation.,Future summaries should say command-coordinate intersection.
src/benchmark/dso_vpp_operating_point_provenance.jl,"368-371,493",VPP P/Q command,Explicitly identifies P13/P30 and Q13/Q30 as commands.,CORRECT,This is the clearest current semantic label and matches the authoritative provenance audit.,Reuse this terminology.
src/benchmark/dso_vpp_operating_point_provenance.jl,509,DOSS,States that no DOSS equivalence is asserted.,CORRECT,Avoids conflating analytical area with a DOSS formulation.,No change.
src/data/types.jl,97-101,PCC,Legacy DOE type has one pcc_bus.,AMBIGUOUS,It may be suitable for a single-interface fixture but cannot express the intended dispersed multi-interface TVPP.,Do not reuse unchanged for the final architecture.
src/data/resources.jl,71-87,DOE/PCC bus 1,Creates a synthetic box at the feeder root.,PILOT_SHORTCUT_BUT_EXPLICIT,"It is a generic fixture and is unused by Phase B, but it is not a DSO-derived multi-interface DOE.",Deprecate or clearly mark fixture-only before final DOE work.
src/data/scenarios.jl,"5,7",TVPP/DOE,Scenario descriptions name future smart-EV TVPP and DOE cases.,AMBIGUOUS,Names exist without implemented DSO-TVPP information boundaries or multi-interface DOE types.,"Treat as roadmap labels, not evidence of implementation."
docs/S1C_CURTAILMENT_BENCHMARK.md,"55,100",PCC,Uses PCC for the feeder upstream strict no-export balance in a separate PV hosting study.,CORRECT,This is a different physical quantity from pilot bus commands.,Keep studies explicitly separated.
docs/METHODOLOGY_DECISIONS_S1.md,"36,124,139",PCC/DOE/TVPP,Discusses feeder no-export balance and future scenario ordering.,PILOT_SHORTCUT_BUT_EXPLICIT,It does not claim buses 13 and 30 form one PCC or microgrid.,Add final multi-interface definitions when that model is implemented.
repository search,no occurrence,microgrid/islandable/geographically contiguous/common PCC,"No source, test, current pilot report, or documentation statement models buses 13 and 30 as a microgrid boundary, islandable area, contiguous area, or one common PCC.",CORRECT,Absence confirmed by case-insensitive search; unrelated uses of contiguous refer to timestamps or numeric IDs.,Maintain this distinction.
repository search,no material occurrence,aggregator/point of connection,No implemented aggregator object or explicit point-of-connection metering abstraction exists for the pilot.,AMBIGUOUS,P_agg and P_PCC are therefore not represented as distinct first-class quantities.,Add explicit types and equations before final TVPP coupling.
src/solve/solve_s1b_central.jl,6,"buses 13,20,24,30",Centralized PV hosting candidate-bus tuple.,CORRECT,It is not an interface mapping and must not be presented as one.,Document this distinction in final architecture work.
