check_id,status,detail
SOURCE_BRANCH,PASS,codex/dso-vpp-ac-map-pilot
SOURCE_COMMIT,PASS,ba88f54f52f7bcd03df2466ce69dff2b9b1c538b
ZERO_AC_PREREGISTRATION,PASS,no solver import; no AC execution
ADDENDUM_GATE_OPEN,PASS,NO_ADDENDUM_BLOCKER
LOCKED_CLASSIFICATION_PRESERVED,PASS,MAIN_COUPLED_DOE_GEOMETRIC_CANDIDATE_FALSIFIED_BY_AC_COUNTEREXAMPLE
EDGE_COUNT,PASS,observed=1689
FAILURE_EDGE_COUNT,PASS,observed=655
LOW_SAMPLE_CORRECTED_COUNT,PASS,committed true set=41; prompt expectation 44 corrected in addendum
ENRICHMENT_POINT_COUNT,PASS,observed=130
SIGNED_DIAGNOSTIC_FIT_COUNT,PASS,observed=1776
ALL_OWNER_COUNTS_ONE,PASS,bad=0
ALL_CAPS_POSITIVE,PASS,minimum=872.060598912349
H_DESIGN_LOCK,PASS,"envelope=0.000142436171381289,quantum=1e-05,h_design=0.00015"
RETREAT_RESOLUTION_EVIDENCE,PASS,"locked=0.25,ray_median=0.32032901824398813,axis_median=0.3125,voltage_quantum_evidence=True"
MIXED_SIGN_COUNT,PASS,observed=65
MIXED_SIGN_NO_PROJECTION,PASS,all mixed-sign rows retain original inward normal
CALIBRATION_INTERIOR_COUNT,PASS,observed=22315
CALIBRATION_VERTEX_COUNT,PASS,observed=1689
CALIBRATION_MEMBERSHIP_TOTAL,PASS,observed=24004
EVERY_EDGE_HAS_THREE_INTERIOR_POINTS,PASS,minimum=3
H1_PLANNED_COUNT,PASS,pre-repair_candidate_count=23040
H2_TARGET_EDGE_COUNT,PASS,pre-repair_target_edges=120
BUDGET_NOT_WALL_TIME,PASS,"primary_cap=302303,retry_cap=3024"
NO_PREREGISTRATION_BLOCKER,PASS,pre_final_blockers=0
