priority,change_type,affected_files,proposal,proposed_types_or_structures,backward_compatibility,required_tests,artifact_regeneration,scientific_results_change,required_before_next_radial_probe,required_before_final_tvpp,status
P0,Semantic naming,new interface module; future reports,"Define P_command, P_agg, and P_PCC independently and document meter boundaries.",PowerCommand; AggregateResourcePower; InterfaceMeasurement,Keep p13_vpp_kw/p30_vpp_kw as read-only legacy aliases.,"Unit tests for definitions, signs, and non-equivalence with local net load.",Only new artifacts; never rewrite Phase-B.,No for old results.,yes,yes,DEFERRED_STRUCTURAL_CHANGE
P0,Multi-interface input,new DSO interface evaluator; optional wrapper near src/benchmark/dso_vpp_ac_map_stage0.jl,Replace positional p13/p30 in final code with an ordered map of controlled interfaces.,"ControlledInterface{id,bus,q_policy}; InterfaceCommand{interface_id,p_kw,q_kvar}",Historical Stage0 methods delegate without changing bytes or values.,"1,2,4-interface assembly tests; duplicate bus/interface validation; legacy equivalence.",New schema/version only.,No if adapter-equivalent.,no,yes,DEFERRED_STRUCTURAL_CHANGE
P0,Physical interface conversion,new DSO-side assembly module,Make p_net=passive_load+non_tvpp_load-non_tvpp_generation-P_PCC an explicit named conversion.,DSOOperatingPoint; InterfaceInjectionVector,Pilot adapter supplies reference PV and commands exactly as today.,Independent reconstruction and power-balance tests at buses with local load/reference PV.,No old regeneration.,No for pilot; final results new.,yes,yes,DEFERRED_STRUCTURAL_CHANGE
P0,Information separation,new src/dso and src/tvpp modules; future solvers,Keep AC topology/equations only on the DSO side; coupled/box TVPP receives only an exogenous envelope and resource data.,DSOModel; TVPPPortfolio; CoupledDOE; BoxDOE,Centralized benchmark may continue using combined CaseData as a separate architecture.,Dependency-boundary test that TVPP modules do not import network equations/topology.,New artifacts only.,Creates new comparison results.,no,yes,DEFERRED_STRUCTURAL_CHANGE
P0,DOE representation,src/data/types.jl; src/data/resources.jl or successor,Supersede the single-pcc DOE with multi-interface coupled and box envelopes.,"CoupledDOE(interface_ids,A,b); BoxDOE(interface_ids,p_min,p_max)",Retain DOE as deprecated fixture; explicit conversion only for one interface.,Dimension/order validation; E_box subset E_coupled tests; serialization round trip.,Legacy DOE artifacts unchanged; final DOE artifacts new.,Final scientific values will be newly computed.,no,yes,DEFERRED_STRUCTURAL_CHANGE
P1,Resource aggregation,future TVPP resource module; existing PV/EV/BESS adapters,Map each PV/EV/BESS resource to a TVPP and metered interface without assuming bus contiguity.,TVPPResourcePortfolio; ResourceInterfaceMap,Existing centralized resource fixtures remain usable through adapters.,"Dispersed buses, multiple resources per interface, and resource on non-interface bus tests.",New artifacts only.,Final scheduling results new.,no,yes,DEFERRED_STRUCTURAL_CHANGE
P1,Reactive policy,new interface Q-policy module; generalized replay,Support a fixed P-dependent Q policy for a P-only DOE; do not add Q as an independent DOE dimension unless separately authorized.,abstract QPolicy; UnityPowerFactor; FixedPowerFactorPolicy,Pilot uses UnityPowerFactor and remains Q=0.,Lagging/leading/unity sign tests; P=0; saturation policy; replay equivalence.,No Phase-B regeneration.,No for pilot; final acceptance region may change when policy is applied.,no,yes,DEFERRED_STRUCTURAL_CHANGE
P1,N-dimensional geometry,new DOE construction module,Represent all-bus interface inequalities in N dimensions; preserve historical 2x2 analytical audit unchanged.,"HalfSpaceEnvelope{interface_ids,A,b}; optional polytope utilities",No changes to locked analytical artifacts.,1D/2D/4D synthetic polytopes; all-bus constraint and ordering tests.,New final artifacts only.,New DOE/HC results.,no,yes,DEFERRED_STRUCTURAL_CHANGE
P1,Equipment ratings,network data types and DSO constraint builder,Represent missing ratings explicitly and enforce only documented line/transformer ratings.,"Union{Missing,Float64} rating fields or validated rating registry",Zero-as-missing legacy import adapter.,Missing/zero/documented rating tests; no synthetic fallback.,Existing pilot stays voltage-only.,Only future results with valid ratings may change.,no,yes,DEFERRED_STRUCTURAL_CHANGE
P1,Voltage policy,scenario configuration and reports,Use one explicit scenario voltage-band object; never infer 0.95 from legacy scripts.,"VoltageBand{vmin_pu,vmax_pu,provenance}",Pilot adapter locks 0.90/1.05.,"Cross-path equality tests for primary, replay, DOE builder, and reports.",No old regeneration.,None if values unchanged.,yes,yes,DEFERRED_STRUCTURAL_CHANGE
P2,Schema versioning,future CSV/JSON artifacts,Use long-form rows keyed by interface_id/bus and include quantity_kind=P_command/P_agg/P_PCC.,schema_version; interface_id; quantity_kind; sign_convention,Readers retain legacy two-column support.,Round-trip and legacy-reader tests.,Existing artifacts remain byte-identical.,No.,no,yes,DEFERRED_STRUCTURAL_CHANGE
P2,Terminology cleanup,"future comments, reports, plots, labels",Use controlled-injection bus for Phase-B coordinates and reserve PCC for a defined physical meter.,No structural type required.,Do not rename committed artifact columns.,Text regression search forbidding microgrid/common-PCC claims in final TVPP docs.,Only future docs.,No.,yes,yes,DEFERRED_TERMINOLOGY_CHANGE
