timestamp,total_reflex_vertices,vmax_reflex_vertices,vmin_reflex_vertices,vmax_reflex_fraction,generic_no_steiner_lower_bound_cells,generic_no_steiner_upper_bound_cells,actual_minimum_center_fan_cells,gap_actual_minus_generic_lower,gap_generic_upper_minus_actual,actual_equals_vmax_reflex_plus_one,bound_theorem,bound_assumptions,actual_partition_class,bound_applicability
2010-07-01 07:30:00,20,20,0,1,11,21,21,10,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2010-07-02 17:30:00,24,24,0,1,13,25,25,12,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2010-07-02 18:00:00,24,24,0,1,13,25,25,12,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2010-07-03 00:00:00,22,22,0,1,12,23,23,11,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2010-11-26 18:00:00,22,22,0,1,12,23,23,11,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2010-12-21 11:30:00,22,22,0,1,12,23,23,11,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2010-12-21 12:00:00,22,22,0,1,12,23,23,11,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2011-01-21 18:00:00,22,21,1,0.954545454545455,12,23,22,10,1,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2011-02-05 11:30:00,23,23,0,1,13,24,24,11,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2011-02-05 17:30:00,27,27,0,1,15,28,28,13,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2011-02-05 18:00:00,27,27,0,1,15,28,28,13,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2011-02-06 00:00:00,22,22,0,1,12,23,23,11,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2011-03-04 18:00:00,22,22,0,1,12,23,23,11,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2011-03-08 11:30:00,22,22,0,1,12,23,23,11,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2011-03-08 12:30:00,22,22,0,1,12,23,23,11,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2011-05-11 17:30:00,24,24,0,1,13,25,25,12,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2011-05-11 18:00:00,24,24,0,1,13,25,25,12,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2011-05-16 07:30:00,22,21,1,0.954545454545455,12,23,22,10,1,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2011-09-11 00:00:00,22,22,0,1,12,23,23,11,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2011-09-30 05:30:00,21,21,0,1,12,22,22,10,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2011-09-30 11:30:00,21,21,0,1,12,22,22,10,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2011-11-14 17:30:00,24,24,0,1,13,25,25,12,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2011-11-14 19:30:00,24,24,0,1,13,25,25,12,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2011-12-15 05:30:00,21,21,0,1,12,22,22,10,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
2012-08-04 03:30:00,21,21,0,1,12,22,22,10,0,true,SIMPLE_POLYGON_DIAGONAL_CONVEX_PARTITION:CEIL(R/2)+1<=OPT_NO_STEINER<=R+1,SIMPLE_POLYGON;PARTITION_BY_NONCROSSING_DIAGONALS;NO_STEINER_POINTS,EXACT_MINIMUM_WITHIN_PRODUCTION_CENTER_FAN_CONSECUTIVE_INTERVAL_MERGES;COMMON_CENTER_IS_STEINER_POINT,GENERIC_NO_STEINER_OPTIMUM_REFERENCE;NOT_A_THEOREM_BOUND_ON_RESTRICTED_CENTER_FAN_MINIMUM
