parameter,current_status,lock_timing,reason
AC mesh density,UNRESOLVED,AFTER_LIMITED_RUNTIME_BENCHMARK_BEFORE_SUBSTANTIVE_AC_VALIDATION,runtime-dependent solve budget
physical-facet sampling density,UNRESOLVED,AFTER_LIMITED_RUNTIME_BENCHMARK_BEFORE_SUBSTANTIVE_AC_VALIDATION,runtime-dependent solve budget
guard-cap sampling density,UNRESOLVED,AFTER_LIMITED_RUNTIME_BENCHMARK_BEFORE_SUBSTANTIVE_AC_VALIDATION,runtime-dependent solve budget
interior sampling density,UNRESOLVED,AFTER_LIMITED_RUNTIME_BENCHMARK_BEFORE_SUBSTANTIVE_AC_VALIDATION,runtime-dependent solve budget
angular-gap oversampling density,UNRESOLVED,AFTER_LIMITED_RUNTIME_BENCHMARK_BEFORE_SUBSTANTIVE_AC_VALIDATION,runtime-dependent solve budget
guard-sector oversampling density,UNRESOLVED,AFTER_LIMITED_RUNTIME_BENCHMARK_BEFORE_SUBSTANTIVE_AC_VALIDATION,runtime-dependent solve budget
candidate membership tolerance tau_membership_kw,UNRESOLVED,AFTER_LIMITED_RUNTIME_BENCHMARK_BEFORE_SUBSTANTIVE_AC_VALIDATION,must be fixed before the endpoint screen is authoritative
fitted-normal materiality threshold (if used),UNRESOLVED,AFTER_LIMITED_RUNTIME_BENCHMARK_BEFORE_SUBSTANTIVE_AC_VALIDATION,raw deviations reported; no threshold was previously preregistered
descending alpha schedule,UNRESOLVED,AFTER_LIMITED_RUNTIME_BENCHMARK_BEFORE_SUBSTANTIVE_AC_VALIDATION,requires runtime budget but cannot use validation outcomes
number of alpha levels m,UNRESOLVED,AFTER_LIMITED_RUNTIME_BENCHMARK_BEFORE_SUBSTANTIVE_AC_VALIDATION,requires runtime budget but cannot use validation outcomes
contraction stopping/numerical policy,UNRESOLVED,AFTER_LIMITED_RUNTIME_BENCHMARK_BEFORE_SUBSTANTIVE_AC_VALIDATION,must define deterministic exhaustion of the predeclared finite schedule; no validation-driven bisection
AC validation numerical tolerance,UNRESOLVED,AFTER_LIMITED_RUNTIME_BENCHMARK_BEFORE_SUBSTANTIVE_AC_VALIDATION,must be fixed with solver/runtime contract
checkpoint/resume batching,UNRESOLVED,AFTER_LIMITED_RUNTIME_BENCHMARK_BEFORE_SUBSTANTIVE_AC_VALIDATION,depends on measured runtime and storage cadence
parallel worker count,UNRESOLVED,AFTER_LIMITED_RUNTIME_BENCHMARK_BEFORE_SUBSTANTIVE_AC_VALIDATION,depends on benchmarked CPU/RAM behavior
