file_path,line_or_symbol,assumption,evidence,classification,required_action,backward_compatibility,artifact_regeneration,scientific_results_change
src/benchmark/dso_vpp_ac_map_stage0.jl,89-96,Function signature has exactly p13_vpp_kw and p30_vpp_kw.,"Two scalar parameters, no collection of interfaces.",GENERALIZATION_REQUIRED_BEFORE_FINAL_TVPP,Add a new Dict/Vector-based interface API; keep wrapper.,Keep existing positional signature for Phase-B replay.,No existing artifacts; new final artifacts only.,No for wrapper; final model results will be new.
src/benchmark/dso_vpp_ac_map_stage0.jl,112-114,Controlled injection vector writes only indices 13 and 30.,Two literal assignments.,GENERALIZATION_REQUIRED_BEFORE_FINAL_TVPP,Assemble from explicit ControlledInterface entries.,Preserve literal assignments in historical wrapper.,No Phase-B regeneration.,No for preserved pilot.
src/benchmark/dso_vpp_ac_map_stage0.jl,136-160,Primary power-flow wrapper takes exactly two command scalars.,p13/p30 forwarded to assembler.,GENERALIZATION_REQUIRED_BEFORE_FINAL_TVPP,Generalized overload accepts resolved bus injection map.,Old method delegates to generalized method.,No Phase-B regeneration if byte-equivalent.,None if behavior is identical.
src/benchmark/dso_vpp_ac_map_stage0.jl,297-317,Point evaluator takes exactly two command scalars.,Fixed positional fields.,GENERALIZATION_REQUIRED_BEFORE_FINAL_TVPP,Add an interface-command record API.,Keep old API as adapter.,New schema version for final model.,None for historical outputs.
src/benchmark/dso_vpp_ac_map_stage0.jl,339-342,Replay serialization contains keys 13 and 30 only.,Literal Dict with two entries.,GENERALIZATION_REQUIRED_BEFORE_FINAL_TVPP,Pass resolved P/Q maps to a generalized replay.,Preserve old dictionary in pilot wrapper.,No Phase-B regeneration.,None for pilot.
src/benchmark/dso_vpp_ac_map_stage0.jl,397-400,Returned fields are p13/p30 and q13/q30.,Four bus-numbered fields.,DOCUMENTATION_OR_NAMING_DEFECT,Expose command_by_bus and q_command_by_bus in new API; aliases remain.,Legacy field names retained.,Final artifacts require new schema.,No numerical change.
src/benchmark/dso_vpp_ac_map_stage0.jl,458-479,Stage-0 sampling is two-dimensional.,Two Halton bases generate p13 and p30.,PILOT_SPECIFIC_AND_ACCEPTABLE,Do not reuse as N-dimensional DOE sampler.,Freeze Phase-B plan.,Never regenerate existing Stage-0 plan.,Not applicable.
src/benchmark/dso_vpp_ac_map_stage0.jl,484-496,Warm-start distance is Euclidean hypot over two coordinates.,"hypot(p13 difference,p30 difference).",PILOT_SPECIFIC_AND_ACCEPTABLE,Use norm over ordered interface vector in a new implementation.,Freeze existing behavior.,No existing artifacts.,Not applicable.
src/benchmark/dso_vpp_ac_map_stage0.jl,"525-552,638-676",CSV schemas have separate p13/p30 and q13/q30 columns.,Bus-numbered columns are serialized.,PILOT_SPECIFIC_AND_ACCEPTABLE,Version new generalized schemas; do not rewrite old CSVs.,Readers keep legacy schema support.,New final artifacts only.,No.
src/benchmark/dso_vpp_ac_map_stage0.jl,601-635,Authoritative plan requires exactly p13_vpp_kw and p30_vpp_kw columns.,Required tuple contains both literal names.,PILOT_SPECIFIC_AND_ACCEPTABLE,Freeze for provenance; new plans use long-form interface rows.,Legacy reader unchanged.,No regeneration.,No.
src/benchmark/dso_vpp_ac_map_stage0.jl,1096-1136,Before/after comparison schema has P13_VPP and P30_VPP columns.,Two parsed fields and two output columns.,PILOT_SPECIFIC_AND_ACCEPTABLE,Do not generalize historical repair artifact.,Freeze.,No regeneration.,No.
src/benchmark/dso_vpp_export_side_axis_scan.jl,12,AXES is a hard-coded two-element tuple.,P13_VPP bus 13; P30_VPP bus 30.,PILOT_SPECIFIC_AND_ACCEPTABLE,Final interface set must be data-driven in a separate module.,Keep tuple for Phase B.,No regeneration.,No.
src/benchmark/dso_vpp_export_side_axis_scan.jl,"33-46,319-347",Scan schema writes vpp_p13_kw and vpp_p30_kw.,Two fixed output fields.,PILOT_SPECIFIC_AND_ACCEPTABLE,Use long-form interface command records for final studies.,Retain legacy schema.,New artifacts only.,No.
