scope,file_path,line_or_symbol,limit_or_rating,actual_value,enforcement,scenario_specific,classification,evidence_or_required_action
Phase-B/Stage-0 production,src/benchmark/dso_vpp_ac_map_stage0.jl,"11-12,279-287,352-353",Voltage band,0.90 <= V <= 1.05 p.u.,classify_voltage plus replay arguments,pilot-wide locked values,CONSISTENT,Both primary classification and replay use the same constants.
Phase-B scan production,src/benchmark/dso_vpp_export_side_axis_scan.jl,"53-54,67-72",Voltage band,0.90 <= V <= 1.05 p.u.,Config is rejected unless equal to Stage0 constants,pilot-wide locked values,CONSISTENT,No independent alternative limit can silently enter.
Phase-B runner,scripts/run_dso_vpp_export_side_axis_scan.jl,90-91,CLI defaults,Vmin=0.90; Vmax=1.05,Passed into ScanConfig,pilot runner,CONSISTENT,Matches production constants.
Analytical audit production,src/benchmark/dso_vpp_ac_anchored_linear_corner_audit.jl,"29,47-49,357-360",Upper-voltage headroom,Vmax=1.05,Validated against Stage0 VMAX; analytical inequalities are upper-only,locked analytical audit,CONSISTENT,Lower limit is not part of this upper-voltage linear diagnostic; baseline AC replay still uses 0.90.
AC replay production,src/validation/s1b_independent_replay.jl,"143-146,311-312",Default voltage band,0.90 <= V <= 1.05 p.u.,voltage_limits_satisfied,S1B/pilot default; caller-overridable,CONSISTENT,Stage0 passes explicit locked values.
Centralized S1B production,src/solve/solve_s1b_central.jl,11-12,Voltage band,0.90 <= V <= 1.05 p.u.,centralized model/replay,S1B scenario,CONSISTENT,Separate study but same project band.
S1B method benchmark production,src/benchmark/s1b_method_benchmark.jl,20-21,Voltage band,0.90 <= V <= 1.05 p.u.,SOCP/NLP/replay,one-day benchmark,CONSISTENT,Separate diagnostic.
Generic CaseData fixture,src/data/resources.jl,90-105,Voltage band,0.90 <= V <= 1.10 p.u.,CaseData field values,legacy generic fixture,SCENARIO_SPECIFIC_NOT_PILOT,Do not use to describe Phase B.
S0 baseline config production,src/data/s0_types.jl,159-162,Operational/diagnostic bands,0.95..1.05 operational; 0.80..1.10 diagnostic,S0 baseline reporting config,older baseline framework,SCENARIO_SPECIFIC_NOT_PILOT,The later project decision supersedes 0.95 for the current pilot.
S1 paper-study production,src/solve/solve_s1_pv_only.jl,118-120,Paper defaults,0.95 <= V <= 1.05 p.u.,paper-case construction,legacy paper scenario,SCENARIO_SPECIFIC_NOT_PILOT,Not a universal project limit.
S2 unmanaged-EV production,src/CiroPVHC.jl,51-58,Scenario defaults,0.95 <= V <= 1.05 p.u.,S2 config,legacy unmanaged-EV scenario,SCENARIO_SPECIFIC_NOT_PILOT,Not used by Phase B.
S1 paper runner,scripts/run_s1_pv_only_paper.jl,6-7,Paper constants,0.95 <= V <= 1.05 p.u.,runner,legacy paper scenario,SCENARIO_SPECIFIC_NOT_PILOT,No current pilot report cites this as universal.
S1 paper snapshot runner,scripts/run_s1_pv_only_paper_snapshot.jl,6-7,Paper constants,0.95 <= V <= 1.05 p.u.,runner,legacy paper snapshot,SCENARIO_SPECIFIC_NOT_PILOT,Not Phase B.
S1 paper lexical snapshot runner,scripts/run_s1_pv_only_paper_snapshot_lexi.jl,6-7,Paper constants,0.95 <= V <= 1.05 p.u.,runner,legacy paper snapshot,SCENARIO_SPECIFIC_NOT_PILOT,Not Phase B.
S1 paper final snapshot runner,scripts/run_s1_pv_only_paper_snapshot_final.jl,7-8,Paper constants,0.95 <= V <= 1.05 p.u.,runner,legacy paper snapshot,SCENARIO_SPECIFIC_NOT_PILOT,Not Phase B.
Pilot test,test/test_dso_vpp_ac_map_stage0.jl,5-46,Production constants exercised,0.90/1.05 through module,evaluated classifications,pilot test,CONSISTENT,No alternate pilot limit.
Axis-scan test,test/test_dso_vpp_export_side_axis_scan.jl,"9-61,71-120",Production config and synthetic 1.049/1.051 bracket,around Vmax=1.05,smoke plus refinement unit test,pilot test,CONSISTENT,"Synthetic points test stopping logic, not a new project limit."
