priority,evaluation_id,absolute_pcc_path,equivalent_command_path,purpose,required_method,decision_enabled,production_probe_gate
P0,ABS_ORIGIN_EXACT,"P_abs=(0,0)","P_command=(-777.7133428167988,0)",establish physical-origin AC convergence/replay/0.90-1.05 feasibility,one exact AC evaluation plus replay; no optimization,whether origin can anchor any radial representation,BLOCKING
P0,PCC13_POSITIVE_HALF_AXIS,"P_abs=(lambda,0), lambda>=0","P_command=(lambda-777.7133428167988,0)",connect origin through the fixed-reference point to the known positive boundary and test ordered transitions,coarse scan plus bracket/refinement with explicit multiple-transition handling,true positive P13 absolute-axis boundary and connectivity,BLOCKING
P0,PCC13_NEGATIVE_HALF_AXIS,"P_abs=(-lambda,0), lambda>=0","P_command=(-lambda-777.7133428167988,0)",find or classify import-side terminal behavior,guarded coarse scan plus bracket/refinement; nonconvergence unresolved,negative P13 domain extent,BLOCKING_IF_IMPORT_INCLUDED
P0,PCC30_POSITIVE_HALF_AXIS,"P_abs=(0,lambda), lambda>=0","P_command=(-777.7133428167988,lambda)",obtain true positive P30 absolute-axis intercept,guarded coarse scan plus bracket/refinement,positive P30 normalization based on a true axis,BLOCKING
P0,PCC30_NEGATIVE_HALF_AXIS,"P_abs=(0,-lambda), lambda>=0","P_command=(-777.7133428167988,-lambda)",find or classify P30 import-side terminal behavior,guarded coarse scan plus bracket/refinement; nonconvergence unresolved,negative P30 domain extent,BLOCKING_IF_IMPORT_INCLUDED
P1,EXPORT_EXPORT_INTERIOR,P13>0;P30>0 from the selected absolute reference,subtract fixed baseline componentwise,test intermediate-direction transitions without reusing theta_star_command,directions preregistered only after true intercept/domain selection,star-shapedness evidence in export-export quadrant,BLOCKING_FOR_RADIAL_REPRESENTATION
P1,EXPORT_IMPORT_INTERIOR,P13>0;P30<0,subtract fixed baseline componentwise,cover EV/BESS mixed export/import behavior,deterministic directions after positive/negative axis scales exist,mixed-quadrant connectivity and transitions,BLOCKING_IF_DOMAIN_INCLUDED
P1,IMPORT_EXPORT_INTERIOR,P13<0;P30>0,subtract fixed baseline componentwise,cover EV/BESS mixed import/export behavior,deterministic directions after positive/negative axis scales exist,mixed-quadrant connectivity and transitions,BLOCKING_IF_DOMAIN_INCLUDED
P1,IMPORT_IMPORT_INTERIOR,P13<0;P30<0,subtract fixed baseline componentwise,cover simultaneous charging/import behavior,deterministic directions after negative axis scales exist,import-import connectivity and transitions,BLOCKING_IF_DOMAIN_INCLUDED
P2,NONRADIAL_FALLBACK,finite declared absolute domain,componentwise translation only,avoid invalid radial construction if origin is infeasible or rays have multiple transitions,adaptive cells/support directions/half-space or disconnected-component representation,choice of nonradial boundary representation,CONDITIONAL
