scope_family,operation,timer_scope,additive_in_validation_runtime,evidence,detail
COMMITTED_BENCHMARK_VS_PRODUCTION_INVENTORY,coordinate assignment,benchmark=INSIDE_TIMER;production=INSIDE_TIMER,NOT_DIRECTLY_APPLICABLE,benchmark:505-512;production:285-288,Scalar P13/P30 argument access and Float64 normalization are inside; geometric point selection/derivation happened earlier.
COMMITTED_BENCHMARK_VS_PRODUCTION_INVENTORY,physical-injection assembly,benchmark=INSIDE_TIMER;production=INSIDE_TIMER,NOT_DIRECTLY_APPLICABLE,stage0:308-318,Allocates injection and net-demand arrays per call.
COMMITTED_BENCHMARK_VS_PRODUCTION_INVENTORY,network state preparation,benchmark=INSIDE_TIMER;production=INSIDE_TIMER,NOT_DIRECTLY_APPLICABLE,stage0:310-317,Per-call assembled inputs are inside; static network construction and profile loading are outside the benchmark point timer.
COMMITTED_BENCHMARK_VS_PRODUCTION_INVENTORY,radial AC power-flow solve,benchmark=INSIDE_TIMER;production=INSIDE_TIMER,NOT_DIRECTLY_APPLICABLE,stage0:320-332,Primary flat-start radial BFS.
COMMITTED_BENCHMARK_VS_PRODUCTION_INVENTORY,replay_s1b_interval,benchmark=INSIDE_TIMER;production=INSIDE_TIMER,NOT_DIRECTLY_APPLICABLE,stage0:334-360,Independent replay and residual solution path.
COMMITTED_BENCHMARK_VS_PRODUCTION_INVENTORY,voltage-limit classification,benchmark=INSIDE_TIMER;production=INSIDE_TIMER,NOT_DIRECTLY_APPLICABLE,stage0:369-375;production:296,Stage0 classification and production attempt_class both occur before evaluate_physical! returns.
COMMITTED_BENCHMARK_VS_PRODUCTION_INVENTORY,primary binding classification,benchmark=OUTSIDE_TIMER;production=INSIDE_TIMER,NOT_DIRECTLY_APPLICABLE,"benchmark:512-531;production:534-536,747-749",Benchmark binding_mechanism is computed after the point timer; production search-level binding analysis remains inside the full run timer.
COMMITTED_BENCHMARK_VS_PRODUCTION_INVENTORY,evaluation ID allocation,benchmark=INSIDE_TIMER;production=INSIDE_TIMER,NOT_DIRECTLY_APPLICABLE,"production:287-288,303",Logical and attempt counters mutate inside evaluate_physical!.
COMMITTED_BENCHMARK_VS_PRODUCTION_INVENTORY,attempt-row construction,benchmark=INSIDE_TIMER;production=INSIDE_TIMER,NOT_DIRECTLY_APPLICABLE,"production:250-279,299-303",In-memory NamedTuple construction and push are included.
COMMITTED_BENCHMARK_VS_PRODUCTION_INVENTORY,provenance capture,benchmark=INSIDE_TIMER;production=INSIDE_TIMER,NOT_DIRECTLY_APPLICABLE,production:253-278,Per-attempt timestamp/search/phase/initialization provenance fields are captured inside; file hashing is outside.
COMMITTED_BENCHMARK_VS_PRODUCTION_INVENTORY,neighbor/warm-start state update,benchmark=INSIDE_TIMER;production=INSIDE_TIMER,NOT_DIRECTLY_APPLICABLE,"production:304-309,321-350",Accepted-neighbor voltage copy/push is included; nearest-neighbor search occurs only after first-attempt nonconvergence.
COMMITTED_BENCHMARK_VS_PRODUCTION_INVENTORY,accepted-endpoint storage,benchmark=INSIDE_TIMER;production=INSIDE_TIMER,NOT_DIRECTLY_APPLICABLE,production:304-309;471-560;698-763,Numerically accepted neighbor storage is inside the point timer; production safe/violating search-vector storage is outside the point wrapper but inside the production run.
COMMITTED_BENCHMARK_VS_PRODUCTION_INVENTORY,re-entry bookkeeping,benchmark=NOT_APPLICABLE;production=INSIDE_TIMER,NOT_DIRECTLY_APPLICABLE,"production:399-410,510-512,723-725",The bounded benchmark does not run a ray/axis sweep.
COMMITTED_BENCHMARK_VS_PRODUCTION_INVENTORY,adaptive-trigger bookkeeping,benchmark=NOT_APPLICABLE;production=INSIDE_TIMER,NOT_DIRECTLY_APPLICABLE,"production:784-801,1444-1455",The bounded benchmark uses committed points and creates no adaptive plan.
COMMITTED_BENCHMARK_VS_PRODUCTION_INVENTORY,CSV/dataframe row materialization,benchmark=OUTSIDE_TIMER;production=OUTSIDE_TIMER,NOT_DIRECTLY_APPLICABLE,"benchmark:512-531,551,557-570;production:1216-1281",Benchmark timing-row merge and CSV writes are outside. Production final CSVs are after finished_at; in-memory attempt rows are a separate inside-timer item. No DataFrame is used.
COMMITTED_BENCHMARK_VS_PRODUCTION_INVENTORY,checkpoint write,benchmark=NOT_APPLICABLE;production=INSIDE_TIMER,NOT_DIRECTLY_APPLICABLE,"production:815-834,867-874,1421-1455","Production writes 1,794 current-work checkpoints and 32 completed-timestamp checkpoints; the benchmark writes none."
COMMITTED_BENCHMARK_VS_PRODUCTION_INVENTORY,manifest/provenance hashing,benchmark=OUTSIDE_TIMER;production=MIXED,NOT_DIRECTLY_APPLICABLE,"benchmark:615-637;production:1470-1486,1265-1404","Benchmark package hashes are after all timings. Production preregistration/provenance hashes are inside run wall, while final output-manifest hashing is after finished_at."
VALIDATION_CAMPAIGN,setup,SCRIPT_START_TO_POST_NETWORK_PROFILE_SETUP_ON_FINAL_RESUME,YES_AS_STORED_FINAL_RESUME_SCOPE,"validation_script:3,468,499","Includes imports, launch/manifest verification, committed CSV reads, network/profile construction; the stored scalar is not a per-resume decomposition."
VALIDATION_CAMPAIGN,control/substantive evaluation wrapper,EVALUATE_PHYSICAL_CALL_ONLY,YES_ACCUMULATED_THROUGH_CHECKPOINT_PAYLOAD,"validation_script:286-289,513,540-545,575-582",Ends immediately after evaluate_physical!; subsequent external-ID mapping and attempt-row merges are outside this timer.
VALIDATION_CAMPAIGN,checkpoint serialization and manifest,FULL_GROWING_PAYLOAD_SERIALIZE_HASH_AND_MANIFEST_WRITE,YES_ACCUMULATED_THROUGH_CHECKPOINT_PAYLOAD,"validation_script:258-267,513,545,582,589","Includes state serialization, checkpoint SHA-256, and checkpoint-manifest CSV write."
VALIDATION_CAMPAIGN,summary postprocessing,FINAL_RESUME_POST_STARTED_TO_PRE_FINAL_RUNTIME_REWRITE,YES,validation_script:596-664,"Includes final tables, integrity checks, and report generation through the measured boundary; later final report/runtime rewrites and manifest hashing are outside."
