path_id,step_order,file_path,line_or_symbol,call_or_operation,input_semantics,output_semantics
PHASE_B_AXIS_SCAN,1,scripts/run_dso_vpp_export_side_axis_scan.jl,55-123,main -> ScanConfig -> load_canonical_data -> run_scan,"CLI/config values; defaults H=850, reference PV bus 13, V=0.90..1.05",Validated Phase-B scan configuration
PHASE_B_AXIS_SCAN,2,src/benchmark/dso_vpp_export_side_axis_scan.jl,85-93,load_canonical_data,repository_root and pilot config,"IEEE-33 PilotNetwork, canonical S1BProfile, pilot indices"
PHASE_B_AXIS_SCAN,3,src/benchmark/dso_vpp_ac_map_stage0.jl,36-43,load_profile -> CiroPVHC.read_s1b_profile,data_processed/ausgrid/ausgrid_halfhour_normalized.csv,"timestamps, load_multiplier, pv_profile"
PHASE_B_AXIS_SCAN,4,src/benchmark/dso_vpp_ac_map_stage0.jl,46-67,select_pilot_indices,canonical timestamps,96 exact half-hour indices over two locked dates
PHASE_B_AXIS_SCAN,5,src/benchmark/dso_vpp_export_side_axis_scan.jl,590-614,run_scan loops data.indices and AXES,each timestamp; axes bus 13 and bus 30,one scan_one_axis result per timestamp/axis
PHASE_B_AXIS_SCAN,6,src/benchmark/dso_vpp_export_side_axis_scan.jl,183-317,adaptive_coarse_doubling -> refine_bracket -> evaluate_axis_point,nonnegative scalar command on one axis,safe and upper-voltage-violating command endpoints
PHASE_B_AXIS_SCAN,7,src/benchmark/dso_vpp_export_side_axis_scan.jl,145-163,evaluate_axis_point,"axis_bus, command_kw","p13=command,p30=0 or p13=0,p30=command"
PHASE_B_AXIS_SCAN,8,src/benchmark/dso_vpp_export_side_axis_scan.jl,104-115,evaluate_fixed_injection -> Stage0.evaluate_point,two active command scalars,one fixed-injection AC/replay result
PHASE_B_AXIS_SCAN,9,src/benchmark/dso_vpp_ac_map_stage0.jl,297-317,evaluate_point profile lookup -> assemble_stage0_inputs,"profile.load_multiplier[index], profile.pv_profile[index], H, p13, p30",resolved physical bus input arrays
PHASE_B_AXIS_SCAN,10,src/benchmark/dso_vpp_ac_map_stage0.jl,109-116,reference PV and command assembly,reference PV=H*f_t; commands at buses 13/30,active_injection_by_bus=reference_pv_by_bus+command_by_bus
PHASE_B_AXIS_SCAN,11,src/benchmark/dso_vpp_ac_map_stage0.jl,117-123,load-vector and reactive-vector assembly,IEEE bus pd/qd scaled by load multiplier,"net_demand=(pd*m-active_injection)+j(qd*m), divided by 10000 kW"
PHASE_B_AXIS_SCAN,12,src/benchmark/dso_vpp_ac_map_stage0.jl,"321-332,136-260",primary_power_flow,full 33-bus complex net demand,"AC voltage phasors, substation P/Q, losses, convergence/residual"
PHASE_B_AXIS_SCAN,13,src/benchmark/dso_vpp_ac_map_stage0.jl,334-360,replay_s1b_interval,"resolved injection dict {13:H*f_t+p13,30:p30}; Q commands absent","independent replay voltages, residuals, and voltage-limit flag"
PHASE_B_AXIS_SCAN,14,src/benchmark/dso_vpp_ac_map_stage0.jl,"263-287,362-375",replay validation and voltage testing,"primary/replay state plus VMIN=0.90, VMAX=1.05",PASSED/nonconverged/residual/state status and voltage class
PHASE_B_AXIS_SCAN,15,src/benchmark/dso_vpp_export_side_axis_scan.jl,"319-415,618-636",row assembly and artifact writing,capacity endpoints and every evaluated point,"capacity CSV, scan CSV, timing/resource report, topology diagnostic, manifest"
ANALYTICAL_AUDIT,1,scripts/run_dso_vpp_ac_anchored_linear_corner_audit.jl,23-51,main -> AuditConfig -> write_audit_artifacts,locked timestamp and committed defaults,analytical audit execution
ANALYTICAL_AUDIT,2,src/benchmark/dso_vpp_ac_anchored_linear_corner_audit.jl,94-123,committed_capacity_data,Phase-B Git blob and locked SHA-256,two command-axis normalization scales and limiting rows
ANALYTICAL_AUDIT,3,src/benchmark/dso_vpp_ac_anchored_linear_corner_audit.jl,330-345,run_analytical_audit -> load_canonical_data -> timestamp lookup,exact DateTime 2012-10-15 13:00:00,same network/profile index as Phase B
ANALYTICAL_AUDIT,4,src/benchmark/dso_vpp_ac_anchored_linear_corner_audit.jl,"318-327,346-357","default_baseline_evaluator -> evaluate_fixed_injection(0,0)","zero p13/p30 command, H=850",validated baseline AC/replay state and primary phasors
ANALYTICAL_AUDIT,5,src/benchmark/dso_vpp_ac_map_stage0.jl,297-359,same operating-point assembly and AC/replay path,"same load row, PV row, fixed loads, Q assumptions",same physical baseline input vector as Phase B
ANALYTICAL_AUDIT,6,src/benchmark/dso_vpp_ac_anchored_linear_corner_audit.jl,357-365,"baseline_v2, delta_v2, topology coefficient construction",abs2(primary AC phasors); VMAX^2 headroom; injection buses 13/30,33 headrooms and two 33-element coefficient vectors
ANALYTICAL_AUDIT,7,src/benchmark/dso_vpp_export_side_axis_scan.jl,716-737,topology_coefficient,candidate bus and experimental injection bus,2*shared-path resistance coefficient
ANALYTICAL_AUDIT,8,src/benchmark/dso_vpp_ac_anchored_linear_corner_audit.jl,"126-153,381-398",axis_ranking and all_bus_rows,all 33 upper-voltage inequalities,per-bus linear command-axis limits and rankings
ANALYTICAL_AUDIT,9,src/benchmark/dso_vpp_ac_anchored_linear_corner_audit.jl,191-226,selected 2x2 command-coordinate intersection,bus-13 and bus-30 inequalities in P13/P30 command coordinates,"candidate command-coordinate intersection, condition number, residuals"
ANALYTICAL_AUDIT,10,src/benchmark/dso_vpp_ac_anchored_linear_corner_audit.jl,230-315,all-bus constraint evaluation,candidate command intersection,"all-bus margins, near-binding/violated buses, classification, angles"
ANALYTICAL_AUDIT,11,src/benchmark/dso_vpp_ac_anchored_linear_corner_audit.jl,616-633,write_audit_artifacts,analytical result,"all-bus, rankings, margins, summary, report, manifest"
FUTURE_INFORMATION_BOUNDARY,1,src/benchmark/dso_vpp_ac_map_stage0.jl,89-260,current DSO-side fixed-injection evaluator,passive network data plus external injection commands,network acceptance result; no EV/BESS scheduling
FUTURE_INFORMATION_BOUNDARY,2,src/models/pv_model.jl; src/models/ev_model.jl,module APIs,current resource models,full CaseData or TimeSeries plus resource definitions,resource schedules presently designed for centralized use
FUTURE_INFORMATION_BOUNDARY,3,src/data/types.jl,97-101,current legacy DOE,one PCC bus and per-time box limits,insufficient representation for dispersed multi-interface coupled DOE
